text,label
you are ,0
you re nice guy said ,0
okay ,1
did you see this ,1
yeah ,1
let see ,1
she not fit ,1
she doesn fit ,1
yeah ,1
a star ,1
yeah ,1
a square ,1
I did it ,1
here ,1
aw ,1
 w iib camib b b gheorn ,1
yeah ,1
yeah ,1
this is star ,1
I don know ,1
I don know ,1
yeah ,1
no ,1
that just sheep ,1
yes ,1
yeah ,1
right here ,1
I didn know ,1
yeah ,1
x ,1
a dog ,1
yeah ,1
at home ,1
no ,1
I have birthday cake ,1
yes ,1
 t mburin ,1
there Elmo in ,1
he driving ,1
I a birthday cake on Elmo ,1
she driving to Seabreeze ,1
to see the Seabreeze ,1
do the drkiturk audoba ,1
I gonna do the birthday cake ,1
almost ready bababababa bus ,1
almost ready bababababa bus ,1
oh sorry ,1
yeah ,1
yep ,1
yep ,1
no ,1
I do the clown ,1
yep ,1
almost ready bababababa bus ,1
oh ,1
oh here the bus ,1
the caw ,1
the clown ,1
oh here the bus ,1
yeah ,1
where the bus going ,1
to school ,1
yeah ,1
see clown in the first seat ,1
yeah ,1
this is resa ,1
this is resa ,1
oh ,1
let play ,1
let play with my toy ,1
I dunno ,1
I dunno ,1
what do ya think it is ,1
it a bus ,1
a right backseat ,1
it a pig ,1
now what this ,1
no ,1
I dunno ,1
oh yo ,1
you find that you never enjoy the bed read this sentence ,1
look at this ba ,1
hey piz wilber ,1
read the book because it pretty expensive ,1
wuk at this book ,1
baba ,1
a scissors ,1
do you cut this ,1
a balloon ,1
do you know ,1
now balloon ,1
in the bus ,1
in the bus and the scissors and the pen and the clown and then the balloon did you see that ,1
wow they all went into the bus ,1
here the sailboat ,1
the sailboat ,1
it a sticker ,1
put the sticker right here under the baclaun ,1
it a train ,1
riding under the batrack ,1
I p b train under d b b s ,1
birthday cake ,1
I burfde cake under the bababawun ,1
nothing ,1
nothing ,1
oh it the apple ,1
into over the jorg ,1
a frog ,1
ah mamamamama ,1
oh ,1
oh oh oh look ,1
shh shh ,1
oh no no shh ,1
sorry ,1
oh sorry sorry ,1
yeah ,1
they re gonna stay inside ,1
yeah ,1
I put the sticker under the b b cw ,1
see ,1
to school ,1
I think it in the there ,1
I peek ,1
I think it mommy ,1
no ,1
no ,1
yeah ,1
yeah ,1
I wanna build blocks ,1
de ,1
weizaweizaweizaweiza block ,1
w weiz namanamanama bw ,1
hi he in b ds hiding under the betwein and da mbaet and this this is my friend Otis ,1
hi h ,1
I Otis is big stingeri ,1
and you too ackshub b my trip ,1
aw ber and they re very hard and x ,1
t p ,1
now let go and do and see where it ,1
hm let see ,1
hey see steam boat tug ,1
uhoh meditisis ,1
and it still good ,1
what shame don give up ,1
okay ,1
that it ,1
what ,1
let look him up ,1
that spells o ,1
wow tewmi bababa tu meme sem wab ,1
haebo bo haebo bo and ,1
and you spa and put it on the train ,1
ss now ma goes on the ,1
now let move on ,1
so are you playing by yourself ,1
do you understand what to do ,1
you getting hungi am here to help you ,1
be ,1
now what balu ,1
hey where you going sosaiwa ,1
so are you playing by yourself ,1
Lauren ,1
car ,1
yes ,1
c t ,1
k ,1
e ,1
e a ,1
car ,1
bus ,1
ka ,1
please ,1
yeah ,1
bee bunny ,1
beach ,1
hi ,1
ah ,1
ah ,1
b ,1
byebye ,1
ah ,1
y ,1
v ,1
b ,1
eight ,1
nine ,1
ride ,1
ah ,1
byebye ,1
train ,1
pull train ,1
hug ,1
byebye ,1
manatee ,1
choo ,1
tunnel ,1
bat ,1
hi ,1
house ,1
woof ,1
hi ,1
s geen ,1
tur ,1
truck ,1
train ,1
hat ,1
too ,1
truck ,1
truck ,1
mm m ,1
hi ,1
daui ,1
d ,1
laun ,1
ah ,1
ah ,1
ooh ,1
hi ,1
oh oh ,1
oh ,1
up ,1
bl ,1
out pis ,1
ei ,1
ei ei ,1
x ,1
kwizhish ei ,1
ihai ,1
baw ,1
neigh ,1
t ,1
t ,1
 pi ,1
x x ,1
x ,1
them can CLITIC talk ,0
hi ,0
why ,0
you horse ,0
I don CLITIC know ,0
no ,0
no ,0
no ,0
no don CLITIC wanna CLITIC ,0
no ,0
you hafta CLITIC put it in and then ,0
and then you pick it up and say ,0
I don CLITIC want ,0
only one teacup ,0
where ,0
I CLITIC gonna CLITIC have this teacup ,0
the saucers ,0
no ,0
yes ,0
here cookies ,0
these are cookies ,0
orange ,0
blueberries ,0
I dipped it ,0
yeah ,0
banana ,0
mm taste it ,0
I don CLITIC know ,0
I think so ,0
yes you may ,0
no my Momma CLITIC feeding me ,0
no ,0
time to take your pajamies off ,0
take her pajamies off ,0
yeah ,0
no ,0
yeah ,0
maybe it CLITIC time to give her bath ,0
bath time girl ,0
washa ,0
she kicking ,0
in the house ,0
I dunno CLITIC CLITIC ,0
you can CLITIC you can CLITIC stand ,0
you re CLITIC gonna CLITIC fall and hurt yourself ,0
I CLITIC gonna CLITIC jump in the water ,0
yeah ,0
I can CLITIC reach ,0
yeah maybe you can come in ,0
bring it no ,0
yeah her get naked ,0
you re CLITIC baby ,0
baby ,0
come ,0
hi Mama ,0
here the mama ,0
a big sister ,0
cold ,0
we in pool at Grandma ,0
no ,0
oh oh you all right ,0
come on my back with me ,0
baby ,0
stuck ,0
fell ,0
no ,0
no ,0
why ,0
because we re CLITIC hafta CLITIC go ,0
no Mommy wanna CLITIC be mama ,0
 want you be mama ,0
no no ,0
yeah ,0
her toes her eyes ,0
look ,0
bath ,0
no ,0
no m CLITIC gonna CLITIC cuddle you ,0
put your clothes back on ,0
and you gonna CLITIC put the baby away ,0
but but don CLITIC wanna CLITIC put the baby baby away ,0
her big brother ,0
a brother ,0
her big sister ,0
no no not yet ,0
why it CLITIC time to get dressed ,0
it it CLITIC time to get dressed big sister ,0
what CLITIC this let CLITIC cuddle ,0
no that CLITIC bath ,0
still swimming in the bath ,0
I can CLITIC ,0
where CLITIC the other toy ,0
nothing ,1
I don know ,1
hey here that bus ,1
it got something at the door ,1
maybe it locked ,1
I don know his head ,1
we need some more people ,1
hey telephone ,1
there a telephone ,1
that one ,1
no it ripped ,1
okay oh ,1
hey this could help ,1
it can ,1
lookit telephone ,1
I think it a telephone hook ,1
it a telephone uk ,1
hello is this the people aim fr nda ,1
oh is that the kid ,1
I don know it kinda like you are having some much fun ,1
we being in Rochester ,1
you are ,1
you are how are you ,1
you re at Rochester too ,1
I know ,1
you got it the wrong number ,1
by the seats ,1
seats and get it ,1
bye ,1
the bus will fix ,1
I don know some people ,1
sure ,1
that a little people ,1
ah he could fit in there ,1
I go to school ,1
hey it a toy bus ,1
I can ride ,1
is that bus seat for ,1
that people is stuck ,1
he got to go ,1
I can get him ,1
I don know you can keep this ,1
I think it not toy ,1
hey book ,1
cars and trucks ,1
cars and trucks ,1
cars and trucks and things ,1
look traffic light ,1
he done this ,1
go ,1
I good night ,1
Goodnight Gorilla ,1
good night gorilla ,1
good night gorilla ,1
good night gorilla ,1
good night gorilla ,1
he getting the key ,1
I don know ,1
out of the cage ,1
fell off him ,1
I don know ,1
good night lion ,1
he getting the keys ,1
good night giraffe ,1
good night lion ,1
good night hyena ,1
good night ah ,1
armadillo ,1
I don know ,1
I don know ,1
 they resting ,1
I dunno in the bed ,1
right there ,1
good night good night good night good night good night good night good night ,1
I did ,1
see it says ,1
good night ,1
it says ,1
good night ,1
eyes ,1
she see gorilla ,1
I dunno ,1
zoo ,1
good night zoo ,1
he getting night and go back home ,1
good night dear ,1
good night ,1
good night gorilla ,1
zz ,1
hey you got an ample ,1
hey blocks ,1
blocks blocks blocks blocks blocks ,1
I dunno looks like letters and numbers ,1
hey what this ,1
it is ,1
I dunno ,1
they are one two three four five six ,1
it fits in there ,1
yeah ,1
push ,1
yes it does ,1
 huh ,1
good night moon ,1
good night moon ,1
in the green room ,1
there was telephone and red balloon and picture of ,1
a cow jumping over the moon ,1
there were three little bears sitting in chair and two little kittens and pair of mittens ,1
in the little toy house and the brown mouse ,1
comb and brush and bowl full of of mush and kwai bis ll lady ,1
whispering ss ,1
good night moon good night moon ,1
good night the cow jumping over the moon ,1
good night little ,1
good night little ,1
red balloon good night bear good night chairs good night kittens good night mittens ,1
good night clocks good night socks ,1
yes ,1
good night house good night little house good night mouse good night comb good night brush ,1
that a comb ,1
good night moon mountain good night mush ,1
good night old lady whispering shh ,1
good night stars good night air ,1
good night and it time ,1
that a light ,1
good night moon ,1
no ,1
it locked ,1
yes ,1
sahi ,1
let go in the school bus ,1
whoop ,1
nah ,1
okay ,1
what ,1
there ,1
no ,1
he sits right here ,1
nnn dunno ,1
lookit him he gonna sit ,1
hey ,1
now he going back out ,1
nnn ,1
nnn ,1
yes ,1
I see everybody ,1
well little house ,1
he sleeping ,1
mhm there he goes ,1
he not ,1
and now lookit him ,1
he driving all by himself ,1
lookit those eyes ,1
and nose and mouth ,1
yes and here ,1
you drive it back up like this see ,1
then it has the license plate ,1
it not real bus ,1
hm ,1
someone needs go to school ,1
going to different school ,1
he going different school ,1
different ,1
hey look at ,0
a toothpaste ,0
what is ,0
hair ,0
she wants to brush her hair ,0
put ,0
 would you like v ,0
tea ,0
I filled some of her tea ,0
maybe ,0
I can pour ,0
now baby ,0
her name is ,0
there CLITIC another baby ,0
her hat does come off ,0
hello ,0
her hand ,0
day day ,0
no ,0
don CLITIC wanna CLITIC drink all of it ,0
I need another one need refill ,0
I need refill ,0
I need to it ,0
you ,0
I have enough ,0
stir ,0
my flavor break ,0
it CLITIC time to go away ,0
more more ,0
it CLITIC going to Africa follow me ,0
I broke my tea ,0
that CLITIC toothpaste tube ,0
I don CLITIC think so ,0
I don CLITIC wanna CLITIC it in her mouth ,0
she drink it all ,0
can we take the top off ,0
too ,0
me ,0
feel her tummy ,0
I wiped her hole in her mouth ,0
maybe feed ,0
is there something in here ,0
milk ,0
she CLITIC ballerina now ,0
a sitting down move ,0
I want brush her hair ,0
I wanna CLITIC brush her hair ,0
I wanna CLITIC move ,0
I wanna CLITIC brush it like that ,0
I way something ,0
wow ,0
look ,0
no move ,0
I wanna CLITIC brush her body ,0
she doesn CLITIC like that ,0
no ,0
no ,0
no ,0
but wanna CLITIC have some more toys ,0
but can have some ,0
but wanna CLITIC take this ,0
but wanna CLITIC brush my hair with ,0
and want one piece one of tea ,0
nothing else to throw in the box ,0
but wanna CLITIC play with more ,0
there CLITIC two ,0
sometimes we need my eyedrops ,0
hm horsie ,0
I wanna CLITIC find another thing ,0
hm no ,0
no ,0
no ,0
play with this ,0
nah ,0
too babyish ,0
hm yeah ,0
hm tea ,0
hm ,0
hm watermelon tea ,0
hm don CLITIC get ,0
oh chamomile tea ,0
hm tea ,0
tea ,0
no ,0
honey and ,0
but ,0
it CLITIC not really real phone ,0
that CLITIC why ,0
yeah ,0
no like babies ,0
hm don CLITIC know what wanna CLITIC do ,0
yeah ,0
not yet ,0
hey how about add some honey ,0
hm this is honey ,0
all finished now ,0
I want some more ,0
yeah ,0
cranberry ,0
yeah ,0
no we re CLITIC doing our tea now ,0
hm don CLITIC know ,0
cheese stick ,0
no ,0
I got so more tea ,0
where ,0
yeah ,0
water ,0
sure get some water for you ,0
not yet ,0
open this ,0
I need spoon ,0
cheers ,0
yes ,0
yeah do it on the floor ,0
no ,0
can you help me ,0
oh yeah ,0
yeah ,0
tea ,1
a blocks ,1
falling ,1
having tea party ,1
yeah ,1
no the bottle ,1
the bottle drink it ,1
oh wait ,1
big one ,1
the water CLITIC gone ,1
no ,1
we are build blocks ,1
woah ,1
heavy ,1
 won ,1
do it ,1
it falling ,1
easy ,1
easy ,1
yes ,1
no wait ,1
no ,1
no ,1
back ,1
no ,1
no ,1
no ,1
no ,1
no no ,1
blocks ,1
I got it ,1
got it ,1
be careful ,1
I CLITIC cleaning up ,1
tea party ,1
tea name ,1
no ,1
stand up ,1
stand up ,1
I can come here ,1
and now this one ,1
it CLITIC on there ,1
like this ,1
ah can like this ,1
a bottle ,1
oh no baby ,1
no ,1
yeah ,0
mm ,0
it bounced into the box ,0
yeah ,0
no ,0
well have b b l have home ,0
yeah ,0
I have three balls ,0
I don have blue ball ,0
red and blue ,0
those are the little balls have ,0
 they re little ,0
no ,0
we just throw them around ,0
 hu ,0
oops ,0
mommy did ,0
and daddy ,0
ugh ,0
ugh ,0
 ai friends is Sophie ,0
 my friend ,0
in her house ,0
yeah ,0
I have to drive on on the road in my car ,0
car ,0
when get bigger drive in my own car ,0
yeah ,0
five ,0
when get bigger ,0
 want red car ,0
no it goes slower ,0
yeah ,0
mm ,0
Elmo ,0
this car is so cute ,0
no ,0
Elmo has car like this ,0
Ernie ,0
Burt ,0
Big Bird ,0
Burt has the letter and Ernie has the letter ,0
no ,0
mhm ,0
when someone gets in my way ,0
that when someone gets in my way turn right ,0
like this ,0
mhm ,0
mhm ,0
I see train ,0
ball ,0
I play with my own ball ,0
I have purple one ,0
it a big one ,0
mm yeah ,0
yep ,0
mm nope ,0
when m three m little ,0
then m big ,0
like Adrian ,0
I going to be five like Adrian too ,0
five ,0
yeah ,0
Adrian five more ,0
she still five ,0
it bounced on my knee ,0
 m going to go on the bus ,0
that when m five ,0
ugh can reach it ,0
uhoh ,0
mm yeah ,0
I going to go to my school ,0
yeah ,0
are you sure do you have bouncy ball at your house ,0
oh ,0
mhm ,0
oh ,0
how old are you ,0
 can guess ,0
bounce higher ,0
whoa ,0
I don know ,0
mm think ,0
yeah ,0
I think you re twenty ,0
I think you re seven ,0
ten ,0
I don know ,0
get my hair out the way ,0
my hair gets in the way ,0
when it windy ,0
no ,0
I don like it too ,0
it too cold ,0
yep ,0
do you ,0
sometimes ,0
falling ,0
I like little snowflakes ,0
yeah ,0
we make snowman and snow walls ,0
you you put the little on top and and the big on bottom and the medium on the middle ,0
a hat on his head ,0
mhm ,0
he needs scarf ,0
that it ,0
yeah ,0
ugh ,0
I red sweater ,0
yeah ,0
no it hot ,0
it hot ,0
when the sun came up ,0
it comes up when it hot ,0
yeah ,0
I not hot in the sun ,0
well m only three ,0
yellow ,0
it turns colors when it yellow ,0
uhoh ,0
uhoh ,0
yeah ,0
I will ,0
uhoh ,0
uhoh ,0
that what the Teletubbies say ,0
uhoh ,0
uhoh ,0
uhoh ,0
I think ,0
a ball ,0
no ,0
we didn play with that last year when was here ,0
daddy work has ball in it ,0
daddy work has ball in it ,0
 blue ,0
yeah ,0
uhoh ,0
I can do pretzel legs ,0
yeah ,0
yeah ,0
you can do that ,0
we can do this one too ,0
 sitting ,0
we can do this one ,0
and do this one too ,0
yeah ,0
yeah ,0
these are new ones ,0
yeah ,0
Adrian goes on the little bus ,0
when someone gets in the bus way then he turns left ,0
no ,0
that what the gopher said ,0
gopher ,0
 the one in ,0
hundred acre wood ,0
and he say ,0
hold everything ,0
he has map in in his hat ,0
no his helmet ,0
he has helmet ,0
yeah ,0
you read it ,0
it tell you when we are ,0
no ,0
uhoh ,0
uhoh ,0
yeah ,0
there a helmet in here ,0
mm ,0
no ,0
what was that noise ,0
no ,0
hold it and put in babies ,0
yeah ,0
baby take ,0
give feed babies ,0
okay ,0
more ,0
here we go ,0
finished ,0
and coffee for me ,0
coffee for me ,0
I CLITIC coffee for me ,0
huh ,0
don CLITIC touch ,0
I tell you you touch okay ,0
I tell you you touch ,0
I tell you you touch ,0
I tell you you touch and you touch ,0
let CLITIC go ,0
what gonna CLITIC happen ,0
see it gonna CLITIC fall ,0
it gonna CLITIC fall this blocks ,0
block on ,0
block on ,0
block on mooshie watch ,0
I not falling ,0
do not fall ,0
ici bon call you ,0
I call doctor ,0
I call doctor ,0
baby have booboo and baby have the kiss for the ,0
have baby the doctor ,0
have baby ,0
her belly hurt ,0
see belly hurt ,0
baby belly hurt ,0
baby the belly hurt with this clothes ,0
baby belly hurt this clothes ,0
baby went pee pee on the clothes ,0
yes ,0
sit ,0
take in to the doctor ,0
yeah ,0
she make mess ,0
she make mess ,0
I call doctor for baby ,0
here baby having foot ,0
you see baby needta CLITIC sleep ,0
baby needta CLITIC sleep ,0
baby need doctor and ,0
baby need doctor for and baby need doctor for ,0
because baby have ,0
and baby have booboo too ,0
and take it this baby have booboo ,0
look take off this ,0
because baby have booboo ,0
baby have booboo ,0
baby make pee pee on the hat ,0
what gonna CLITIC happen ,0
what gonna CLITIC happen ,0
what gonna CLITIC happen ,0
no ,0
baby get doctor ,0
baby want doctor ,0
baby doctor ,0
baby ,0
a baby have booboo ,0
call baby have booboo on the nose ,0
yeah and ll CLITIC ll CLITIC doctor ,0
who CLITIC that ,0
this is medicine ,0
a baby ,0
I put on baby nose ,0
I love you ,0
okay it CLITIC this this ,0
the doctor ,0
okay est ca ,0
lets finish milk ,0
drinking some coffee ,0
this is coffee ,0
I give them coffee for it ,0
baby one for you ,0
baby baby ,0
I see it ,0
I CLITIC cleaning up ,0
yeah ,0
okay ,0
baby ,0
we re CLITIC not finished yet ,0
yeah ,0
what is this for ,0
puppet ,0
a puppet bee ,0
what ,0
what ,0
makes honey ,0
yeah makes honey ,0
what what is this what is this ,0
steering wheel ,0
why these can move ,0
why these can move ,0
is this for looking in the ,0
hey here Oscar ,0
Cookie Monster ,0
Big Bird ,0
you turn on the light and he upside down ,0
ha he upside down ,0
where did you where did you get this car from ,0
vroom ,0
this is guy that sleeps ,0
happy sleepy happy ,0
and what is this ,0
this is for holding onto ,0
and could do this to walk it ,0
yeah ,0
oh ,0
oh trapped ,0
oh it stuck m gonna catch you ,0
the train is broken ,0
it behind you again ,0
hey stop ,0
what this for ,0
a hammer ,0
and and saw ,0
hammer just fixing things ,0
what this ,0
another truck ,0
yeah the bigger truck ,0
yeah firetruck number ten ,0
why this doesn make any sound ,0
car broken ,0
now he can do it ,0
what is this for ,0
shapes ,0
shapes go in there ,0
and this something ,0
dog let see star and sheep ,0
what this ,0
is this Mickey house ,0
this is Mickey house ,0
yeah ,0
no ,0
this is where m walking ,0
I walking the blocks ,0
that doesn look like ,0
doesn look like it ,0
it a builder man ,0
it for building ,0
it like builder man ,0
what this big block for ,0
yeah think it does ,0
yeah ,0
hey where my eye where my eye where my eye ,0
here my eye ,0
there his eye ,0
what this ,0
numbers and letters ,0
there one ,0
one two that all ,0
one two where three ,0
where one ,0
one two three four five ,0
six ,0
hey this is the letter in my name ,0
and then this one ,0
hey this one isn the letter in my name ,0
what ,0
no remember ,0
what this ,0
there lots of cool things in there ,0
and up there is is the button things ,0
it was it for pressing buttons ,0
yeah and ,0
yeah and you have to press the one button right on the yellow one ,0
but if it the yellow you have to press on the right ,0
what this ,0
it little bunny with big fat tail ,0
I can do this all by itself ,0
bang ,0
hey this is the one in my name too ,0
that the letter in my name too ,0
okay ,0
where r ,0
yeah ,0
where a ,0
i ,0
what this ,0
what is this one ,0
where l ,0
This is l ,0
p r t x z ,0
what is this what is this for ,0
iron ,0
no for the clothes ,0
the clothes you dress up on ,0
this is another hammer ,0
one two three ,0
have to put one first this one ,0
one two here three ,0
three ,0
no this isn Easter ,0
this isn a Easter ,0
get to the other houses ,0
okay ,0
one one two three ,0
six ,0
we can get through this ,0
a car can crash into it ,0
gonna knock it down pss ,0
when when that gets taller ll knock it down ,0
don knock it ,0
gonna knock it with hammer ,0
hey wanted to crash into ,0
stop ,0
oh blast ,0
fixing this house ,0
this is firetruck ,0
it can work anywhere ,0
I fell ,0
stories ,0
this is for the buttons ,0
these is for the lighting up adj things ,0
yeah and also the juices ,0
yes ,0
sparkly ball ,0
mine too ,0
no ,0
no ,0
zookeeper ,0
the gorilla ,0
taking his keys ,0
looking ,0
climbing back in ,0
with his keys ,0
a mouse ,0
carrying banana ,0
yes ,0
and mouse carrying banana ,0
a animal ,0
a elephant ,0
here ,0
he was looking at the gorilla ,0
the gorilla was opening the tiger cage ,0
what ,0
giraffe is coming out ,0
this is coming out ,0
yeah ,0
yeah ,0
they re sneaking up ,0
yeah ,0
what ,0
no ,0
yes ,0
yeah ,0
the zookeeper going in ,0
the lion and the monkey going in ,0
yeah ,0
they re in ,0
they re sleeping ,0
mhm ,0
that the animals are coming in ,0
yeah ,0
two eyes ,0
yeah ,0
she wakes up ,0
and sees the gorilla ,0
hm ,0
I don know ,0
no ,0
I don know ,0
yeah ,0
they re going out ,0
to their cage ,0
she going back in ,0
the gorilla ,0
gorilla ,0
little mouse ,0
good night ,0
yeah ,0
yeah ,0
yes ,0
I wanna play with ,0
maybe we could put the Playdoh here ,0
mhm ,0
I can open this myself ,0
orange ,0
I know but ,0
some orange is mixed in there ,0
I need help getting it out ,0
yeah ,0
me too ,0
a ball ,0
yes ,0
yeah ,0
I can make tiny one ,0
almost jumped at me ,0
yeah ,0
I think ,0
oh ,0
yeah ,0
snakes bite you and their tongue tickles ,0
no ,0
well yes ,0
at the zoo ,0
yeah ,0
I don know ,0
giraffe ,0
because he eats leaves off the trees ,0
yeah ,0
with his long neck ,0
yeah ,0
I knew that in school ,0
uhhuh ,0
snakes ,0
that gonna be long snake ,0
I ll watch you ,0
yeah ,0
okay ,0
good ,0
and his nose ,0
you ll get ,0
oy ,0
whoops ,0
I got back together ,0
there ,0
oy ,0
you put back together ,0
now have this one ,0
I like blue ,0
yeah ,0
do you ,0
yeah ,0
my favorite color is blue ,0
oy ,0
can you put mine back together ,0
this keeps falling ,0
yeah ,0
or do it over ,0
yeah ,0
I have blue Playdoh at home ,0
a dog ,0
no ,0
maybe tomorrow ,0
yeah or maybe today ,0
no ,0
yes ,0
what ,0
a mouth ,0
sss ,0
arf ,0
I sliding around ,0
arf ,0
yes ,0
I a dog snake ,0
I gotta find food ,0
I ll make dog too ,0
can you help me ,0
yeah ,0
I can just make the legs ,0
I wanna make it just like yours ,0
yeah ,0
to be family ,0
yeah ,0
mine snake is breaking ,0
yeah ,0
how about we do this ,0
I could be blue dog just like yours ,0
yeah ,0
with this ,0
uhhuh ,0
mine will be small one ,0
yeah ,0
can you help me do mine ,0
yeah ,0
I don know how to ,0
a dog ,0
like one two three four ,0
a turtle got four legs too ,0
can you make mine ,0
yeah but don know how to make them ,0
what ,0
can you do mine ,0
I don know how to make it ,0
okay ,0
you can make the rest ,0
there his leg ,0
four ,0
I don know how to the other legs ,0
hey there not enough ,0
Mama ,0
Mama ,0
hm this ,0
this ,0
milk ,0
Mama ,0
yeah ,0
yeah ,0
spoon ,0
my ,0
no ,0
go ,0
milk ,0
coco ,0
uhoh ,0
yeah ,0
yeah ,0
eye ,0
no ,0
no ,0
big ,0
no ,0
Baba ,0
yeah ,0
Baba ,0
Baba ,0
Baba ,0
yeah ,0
eye ,0
no ,0
Mama ,0
yeah ,0
no ,0
no ,0
no ,0
no ,0
oh no ,0
no ,0
ah ,0
no ,0
me ,0
ah ,0
ah ,0
nine ,0
ah ,0
no ,0
no ,0
baby now ,0
baby ,0
the baby ,0
night ,0
a ,0
no ,0
no ,0
no ,1
I dunno CLITIC CLITIC ,1
what kind of fruit is orange ,1
I don CLITIC know ,1
orange ,1
orange ,1
a fruit ,1
its orange ,1
it be fruit think like an sweet potato ,1
a potato ,1
that ,1
oh to put don CLITIC know ,1
nothing ,1
nothing ,1
no ,1
okay ,1
these ,1
vegetable ,1
a vegetable ,1
yellow ,1
c ,1
n ,1
vegetable ,1
I don CLITIC know ,1
what ,1
Mommy it CLITIC stuck ,1
corn ,1
yeah ,1
on the stick did that and then it goes like boom and and ,1
woah this is cool ,1
truck ,1
put juice into the cup ,1
generally ,1
a crane picks up a sand that is ,1
I dunno CLITIC CLITIC ,1
it just it puts truck ,1
it does when you put something on it moves it somewhere else what CLITIC heavy ,1
you know that that crane breaks ,1
that is what he picks up ,1
no the crane picks up the the metal of the thing metal ,1
and then he puts it in ,1
he takes it somewhere else where it CLITIC empty ,1
yeah ,1
no wait ,1
I ll CLITIC show you ,1
you do that ,1
put in ,1
yeah ,1
I don CLITIC ,1
why not ,1
I CLITIC not ,1
I CLITIC just making it juice ,1
yeah because look what happens when you take it back look ,1
yeah ,1
yeah ,1
I know ,1
you put something lot of things like that so it doesn CLITIC fall down ,1
we need ,1
do that ,1
we put that on ,1
and we put that ,1
see now it CLITIC not gonna CLITIC fall ,1
this ,1
telephone ,1
look what happens ,1
